angle,radius,accuracy
0,0.5,100
0,1.5,100
0,2.5,100
0,3.5,100
0,4.5,80
10,0.5,100
10,1.5,100
10,2.5,100
10,3.5,100
10,4.5,60
-10,0.5,100
-10,1.5,100
-10,2.5,100
-10,3.5,100
-10,4.5,70
20,0.5,50
20,1.5,10
20,2.5,0
20,3.5,0
20,4.5,0
-20,0.5,20
-20,1.5,0
-20,2.5,0
-20,3.5,0
-20,4.5,0
