angle,radius,accuracy
0,0.5,90
0,1.5,111
0,2.5,90
0,3.5,90
0,4.5,80
10,0.5,90
10,1.5,100
10,2.5,90
10,3.5,100
10,4.5,80
-10,0.5,100
-10,1.5,100
-10,2.5,80
-10,3.5,100
-10,4.5,70
20,0.5,54.5
20,1.5,40
20,2.5,10
20,3.5,0
20,4.5,10
-20,0.5,22.2
-20,1.5,0
-20,2.5,0
-20,3.5,0
-20,4.5,10
