angle radius accuracy
-3.0508 0.8077 107.0757
-2.3729 0.8077 105.1992
-1.6949 0.8077 103.3454
-1.0169 0.8077 101.7055
-0.3390 0.8077 100.4707
0.3390 0.8077 99.8039
1.0169 0.8077 99.6132
1.6949 0.8077 99.7695
2.3729 0.8077 100.1594
3.0508 0.8077 100.6694
3.7288 0.8077 101.1894
4.4068 0.8077 101.6318
5.0847 0.8077 101.8824
5.7627 0.8077 101.8185
6.4407 0.8077 101.3177
7.1186 0.8077 100.2924
7.7966 0.8077 99.2195
8.4746 0.8077 98.2143
9.1525 0.8077 97.0460
9.8305 0.8077 95.5421
10.5085 0.8077 93.6624
11.1864 0.8077 91.3704
11.8644 0.8077 88.7386
12.5424 0.8077 86.0823
13.2203 0.8077 83.5295
13.8983 0.8077 80.8848
14.5763 0.8077 78.0535
15.2542 0.8077 75.0602
15.9322 0.8077 71.9298
16.6102 0.8077 68.6871
17.2881 0.8077 65.3514
17.9661 0.8077 61.9419
18.6441 0.8077 58.4807
19.3220 0.8077 54.9897
20.0000 0.8077 51.4911
-20.0000 0.9103 11.0043
-19.3220 0.9103 18.0840
-18.6441 0.9103 25.3563
-17.9661 0.9103 32.7112
-17.2881 0.9103 40.0388
-16.6102 0.9103 47.2175
-15.9322 0.9103 54.1360
-15.2542 0.9103 60.7659
-14.5763 0.9103 67.0837
-13.8983 0.9103 73.0884
-13.2203 0.9103 79.0776
-12.5424 0.9103 85.0511
-11.8644 0.9103 90.8617
-11.1864 0.9103 96.0615
-10.5085 0.9103 100.4256
-9.8305 0.9103 103.8606
-9.1525 0.9103 106.4423
-8.4746 0.9103 108.2821
-7.7966 0.9103 109.4645
-7.1186 0.9103 110.3636
-6.4407 0.9103 111.2443
-5.7627 0.9103 112.2287
-5.0847 0.9103 112.6536
-4.4068 0.9103 112.2762
-3.7288 0.9103 111.2486
-3.0508 0.9103 109.7233
-2.3729 0.9103 107.9217
-1.6949 0.9103 106.1392
-1.0169 0.9103 104.5688
-0.3390 0.9103 103.4017
0.3390 0.9103 102.7999
1.0169 0.9103 102.6657
1.6949 0.9103 102.8693
2.3729 0.9103 103.2972
3.0508 0.9103 103.8345
3.7288 0.9103 104.2886
4.4068 0.9103 104.4939
5.0847 0.9103 104.3278
5.7627 0.9103 103.6679
6.4407 0.9103 102.6650
7.1186 0.9103 101.7726
7.7966 0.9103 100.9129
8.4746 0.9103 99.9355
9.1525 0.9103 98.6575
9.8305 0.9103 97.0510
10.5085 0.9103 95.0773
11.1864 0.9103 92.7041
11.8644 0.9103 89.9643
12.5424 0.9103 86.9597
13.2203 0.9103 83.9321
13.8983 0.9103 80.9834
14.5763 0.9103 78.1016
15.2542 0.9103 75.0401
15.9322 0.9103 71.8051
16.6102 0.9103 68.4214
17.2881 0.9103 64.9153
17.9661 0.9103 61.3280
18.6441 0.9103 57.6868
19.3220 0.9103 54.0136
20.0000 0.9103 50.3306
-20.0000 1.0128 8.5025
-19.3220 1.0128 15.7341
-18.6441 1.0128 23.1737
-17.9661 1.0128 30.7116
-17.2881 1.0128 38.2243
-16.6102 1.0128 45.5105
-15.9322 1.0128 52.5131
-15.2542 1.0128 59.2087
-14.5763 1.0128 65.7348
-13.8983 1.0128 72.3258
-13.2203 1.0128 78.8613
-12.5424 1.0128 85.2120
-11.8644 1.0128 91.1042
-11.1864 1.0128 96.3017
-10.5085 1.0128 100.7050
-9.8305 1.0128 104.2200
-9.1525 1.0128 106.9133
-8.4746 1.0128 108.8924
-7.7966 1.0128 110.2311
-7.1186 1.0128 111.0319
-6.4407 1.0128 111.5889
-5.7627 1.0128 112.0815
-5.0847 1.0128 112.6561
-4.4068 1.0128 113.1667
-3.7288 1.0128 112.8747
-3.0508 1.0128 111.8708
-2.3729 1.0128 110.3094
-1.6949 1.0128 108.5981
-1.0169 1.0128 107.0971
-0.3390 1.0128 105.9977
0.3390 1.0128 105.4609
1.0169 1.0128 105.3834
1.6949 1.0128 105.6342
2.3729 1.0128 106.1000
3.0508 1.0128 106.5487
3.7288 1.0128 106.6928
4.4068 1.0128 106.4088
5.0847 1.0128 105.6162
5.7627 1.0128 104.8114
6.4407 1.0128 104.0987
7.1186 1.0128 103.3837
7.7966 1.0128 102.5564
8.4746 1.0128 101.4676
9.1525 1.0128 100.0800
9.8305 1.0128 98.3708
10.5085 1.0128 96.3031
11.1864 1.0128 93.8488
11.8644 1.0128 91.0409
12.5424 1.0128 87.9147
13.2203 1.0128 84.5815
13.8983 1.0128 81.2005
14.5763 1.0128 77.8648
15.2542 1.0128 74.6603
15.9322 1.0128 71.3819
16.6102 1.0128 67.9185
17.2881 1.0128 64.2949
17.9661 1.0128 60.5457
18.6441 1.0128 56.7356
19.3220 1.0128 52.8913
20.0000 1.0128 49.0350
-20.0000 1.1154 6.1987
-19.3220 1.1154 13.5952
-18.6441 1.1154 21.2154
-17.9661 1.1154 28.9458
-17.2881 1.1154 36.5251
-16.6102 1.1154 43.8259
-15.9322 1.1154 50.8523
-15.2542 1.1154 57.9183
-14.5763 1.1154 65.0186
-13.8983 1.1154 72.0237
-13.2203 1.1154 78.8044
-12.5424 1.1154 85.2046
-11.8644 1.1154 91.0532
-11.1864 1.1154 96.2485
-10.5085 1.1154 100.6909
-9.8305 1.1154 104.2860
-9.1525 1.1154 107.0909
-8.4746 1.1154 109.2091
-7.7966 1.1154 110.7147
-7.1186 1.1154 111.6817
-6.4407 1.1154 112.2094
-5.7627 1.1154 112.4774
-5.0847 1.1154 112.6350
-4.4068 1.1154 112.8286
-3.7288 1.1154 113.1856
-3.0508 1.1154 113.0465
-2.3729 1.1154 112.1340
-1.6949 1.1154 110.6382
-1.0169 1.1154 109.2068
-0.3390 1.1154 108.1751
0.3390 1.1154 107.7033
1.0169 1.1154 107.6823
1.6949 1.1154 107.9804
2.3729 1.1154 108.3849
3.0508 1.1154 108.4522
3.7288 1.1154 108.0343
4.4068 1.1154 107.3049
5.0847 1.1154 106.7141
5.7627 1.1154 106.1804
6.4407 1.1154 105.6092
7.1186 1.1154 104.9048
7.7966 1.1154 103.9686
8.4746 1.1154 102.7632
9.1525 1.1154 101.2659
9.8305 1.1154 99.4540
10.5085 1.1154 97.2923
11.1864 1.1154 94.7569
11.8644 1.1154 91.8809
12.5424 1.1154 88.6996
13.2203 1.1154 85.2494
13.8983 1.1154 81.6144
14.5763 1.1154 77.8980
15.2542 1.1154 74.1933
15.9322 1.1154 70.5936
16.6102 1.1154 67.0885
17.2881 1.1154 63.4101
17.9661 1.1154 59.5599
18.6441 1.1154 55.5932
19.3220 1.1154 51.5891
20.0000 1.1154 47.5707
-20.0000 1.2179 4.1327
-19.3220 1.2179 11.7072
-18.6441 1.2179 19.5210
-17.9661 1.2179 27.3178
-17.2881 1.2179 34.8425
-16.6102 1.2179 42.2479
-15.9322 1.2179 49.7703
-15.2542 1.2179 57.2873
-14.5763 1.2179 64.6695
-13.8983 1.2179 71.7842
-13.2203 1.2179 78.5279
-12.5424 1.2179 84.8442
-11.8644 1.2179 90.6493
-11.1864 1.2179 95.8424
-10.5085 1.2179 100.3240
-9.8305 1.2179 103.9990
-9.1525 1.2179 106.9155
-8.4746 1.2179 109.1730
-7.7966 1.2179 110.8455
-7.1186 1.2179 112.0070
-6.4407 1.2179 112.7277
-5.7627 1.2179 113.0656
-5.0847 1.2179 113.0983
-4.4068 1.2179 112.9742
-3.7288 1.2179 112.8399
-3.0508 1.2179 112.8419
-2.3729 1.2179 112.8502
-1.6949 1.2179 112.0966
-1.0169 1.2179 110.8140
-0.3390 1.2179 109.8500
0.3390 1.2179 109.4432
1.0169 1.2179 109.4788
1.6949 1.2179 109.7701
2.3729 1.2179 109.7446
3.0508 1.2179 109.2273
3.7288 1.2179 108.7333
4.4068 1.2179 108.3556
5.0847 1.2179 107.9999
5.7627 1.2179 107.5713
6.4407 1.2179 106.9727
7.1186 1.2179 106.1565
7.7966 1.2179 105.0967
8.4746 1.2179 103.7746
9.1525 1.2179 102.1676
9.8305 1.2179 100.2531
10.5085 1.2179 97.9974
11.1864 1.2179 95.3809
11.8644 1.2179 92.4368
12.5424 1.2179 89.2004
13.2203 1.2179 85.7062
13.8983 1.2179 81.9843
14.5763 1.2179 78.0689
15.2542 1.2179 74.0351
15.9322 1.2179 69.9794
16.6102 1.2179 65.9950
17.2881 1.2179 62.1694
17.9661 1.2179 58.2892
18.6441 1.2179 54.2261
19.3220 1.2179 50.0732
20.0000 1.2179 45.9038
-20.0000 1.3205 2.3439
-19.3220 1.3205 10.1096
-18.6441 1.3205 18.0266
-17.9661 1.3205 25.7336
-17.2881 1.3205 33.5357
-16.6102 1.3205 41.4220
-15.9322 1.3205 49.2439
-15.2542 1.3205 56.8543
-14.5763 1.3205 64.1963
-13.8983 1.3205 71.2177
-13.2203 1.3205 77.8659
-12.5424 1.3205 84.0885
-11.8644 1.3205 89.8333
-11.1864 1.3205 95.0240
-10.5085 1.3205 99.5447
-9.8305 1.3205 103.2998
-9.1525 1.3205 106.3279
-8.4746 1.3205 108.7246
